SAMPID	SMATSSCR	SMCENTER	SMPTHNTS	SMRIN	SMTS	SMTSD	SMTSISCH	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-QEG5-0926-SM-2M49I	1	C1	2 pieces ~7.8x6 mm;	7	Heart	Heart - Left Ventricle	8-11 hours	BP-20332	RNA isolation_PAXgene Tissue miRNA	11/28/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QEG5-0926-SM-2TC64	1	C1	2 pieces ~7.8x6 mm;	7	Heart	Heart - Left Ventricle	8-11 hours	BP-20332	RNA isolation_Trizol Manual (Cell Pellet)	11/28/2011	LCSET-1477	05/27/2012	TrueSeq.v1	0.49636084	72196	0.9615276	875	0.54008806	0.8680174	0.2824732	22040	0.65872365	0.7586042	76	43.58696	0.004051909	136	35508441	58474694	0.038306262	7218173	108268818	23315488	0.662737	128730	26149787	74116	0.044774614	0	0.09351024	0.35576877	0.46880582	38518663	0.008585363	10838890	3781167	11368675	113	13153885	9553469	0.006135115	12948785	49.60713	0.066668995	0.5838153	830	0.34127638	51.192802
GTEX-QEG5-1126-SM-2I5GH	1	C1	2 pieces  up to 9.6x7 mm; focal hemorrhages, anthracotic pigment focally	8.1	Lung	Lung	8-11 hours	BP-20332	RNA isolation_PAXgene Tissue miRNA	11/28/2011	LCSET-1168_5	04/02/2012	TrueSeq.v1	0.08351205	66344	0.8243537	1535	0.13888673	0.66372204	0.27702683	22615	0.5977848	0.7072744	76	12.822675	0.007366252	127	18135648	32729985	0.17534298	7817533	235659542	156091369	0.6601458	132374	9374741	129911	0.067801185	7662108	0.16063164	0.08302438	0.09218219	19565489	0.008167003	3562985	9737034	3668455	105	7713604	4501659	0.0074607944	7684225	49.904602	0.033172995	0.17868358	706	0.40221515	50.729248
GTEX-QEG5-1126-SM-2M49J	1	C1	2 pieces  up to 9.6x7 mm; focal hemorrhages, anthracotic pigment focally	8.1	Lung	Lung	8-11 hours	BP-20332	RNA isolation_PAXgene Tissue miRNA	11/28/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QEG5-1126-SM-33HC2	1	C1	2 pieces  up to 9.6x7 mm; focal hemorrhages, anthracotic pigment focally	8.1	Lung	Lung	8-11 hours	BP-20332	RNA isolation_PAXgene Tissue miRNA	11/28/2011	LCSET-1668	09/11/2012	TrueSeq.v1	0.8708469	175952	0.97889704	915	0.89008206	0.8094561	0.29401815	25634	0.5093442	0.8030462	76	40.93251	0.0025786601	372	43824279	134351681	0.02075028	843016	150943024	13909142	0.61602557	141824	63830422	66297	0.034007076	0	0.16944088	0.45335814	0.7204824	68431246	0.0047750818	28630730	4574998	29418382	355	30236545	21468633	0.0036531382	30371692	50.111492	0.005584995	0.9093172	823	0.49065584	50.678432
GTEX-QEL4-0004-SM-2RXF3		C1			Blood	Whole Blood	4-7 hours	BP-20344	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	11/28/2011	GTEx_5Mbatch5_March12	05/03/2012	Illumina OMNI SNP Array																																													
GTEX-QEL4-0226-SM-2TWAW	1	C1	6   ~8x3mm pieces.  Squamous epithelium is  ~1-2% of thickness.   ~1mm layer of subcutaneous fat present in 5 pieces	7.5	Skin	Skin - Sun Exposed (Lower leg)	4-7 hours	BP-20412	RNA isolation_Trizol Manual (Cell Pellet)	11/30/2011	GTEx_Affy_Batch7_Apr12	05/03/2012	Affymetrix Expression																																													
GTEX-QEL4-0326-SM-2TWAX	1	C1	2   ~9x9mm aliquots	6.6	Adipose Tissue	Adipose - Subcutaneous	8-11 hours	BP-20413	RNA isolation_Trizol Manual (Cell Pellet)	11/30/2011	GTEx_Affy_Batch7_Apr12	05/03/2012	Affymetrix Expression																																													
GTEX-QEL4-0326-SM-3GAE5	1	C1	2   ~9x9mm aliquots	6.6	Adipose Tissue	Adipose - Subcutaneous	8-11 hours	BP-20413	RNA isolation_PAXgene Tissue miRNA	11/30/2011	LCSET-2015	09/12/2012	TrueSeq.v1	0.7773719	65423	0.97590715	1344	0.79533184	0.83134353	0.30847108	21673	0.6012607	0.7431203	76	16.09851	0.0020241279	172	19142125	42600537	0.023864746	289134	53563224	4151338	0.6370587	128680	20291339	109949	0.058048822	0	0.14456359	0.47820175	0.66119397	25614028	0.005066976	8975509	1687718	9157198	161	9448318	6715767	0.0035111958	9517829	50.183247	0.0053979945	0.8132917	731	0.3987393	50.500996
GTEX-QEL4-0426-SM-3GACZ	1	C1	2   ~6x5mm aliquots,   ~10% interstitial/peripheral adipose tissue	6.9	Nerve	Nerve - Tibial	8-11 hours	BP-20412	RNA isolation_PAXgene Tissue miRNA	11/30/2011	LCSET-2014	09/08/2012	TrueSeq.v1	0.7594025	107907	0.9681795	777	0.7849301	0.782859	0.27185428	24718	0.6338759	0.7778317	76	42.106174	0.0024992493	170	38425981	74382272	0.0316352	352423	94762918	13921380	0.5770616	138514	34949838	50940	0.027509825	0	0.18532048	0.49754828	0.6144896	47149126	0.0056936485	15352964	3333554	15802109	174	16642088	10799489	0.0040445044	16619168	49.965546	0.003718997	0.81045777	855	0.36612415	50.720825
GTEX-QEL4-0526-SM-2TWAR	1	C1	2   ~3mm d aliquots, clean specimens	7.5	Blood Vessel	Artery - Tibial	8-11 hours	BP-20412	RNA isolation_Trizol Manual (Cell Pellet)	11/30/2011	GTEx_Affy_Batch7_Apr12	05/03/2012	Affymetrix Expression																																													
GTEX-QEL4-0526-SM-3GIJ4	1	C1	2   ~3mm d aliquots, clean specimens	7.5	Blood Vessel	Artery - Tibial	8-11 hours	BP-20412	RNA isolation_PAXgene Tissue miRNA	11/30/2011	LCSET-2024	09/11/2012	TrueSeq.v1	0.76612186	47002	0.97045743	1404	0.7840744	0.8452675	0.27597293	20472	0.5407801	0.6993395	76	17.247145	0.0022395472	166	12282336	34126225	0.029253574	136013	43524216	3700820	0.65002763	123249	16237827	117653	0.060734723	0	0.12518997	0.42401186	0.6627526	18454785	0.004565205	7002354	1174775	7118402	156	7353575	5676304	0.0033757517	7430443	50.259968	0.003124996	0.802027	704	0.45921987	50.41091
GTEX-QEL4-0626-SM-2TWB7	1	C1	2   ~11x6mm  aliquot; <5% interstitial adipose tissue, clean specimens	7.7	Muscle	Muscle - Skeletal	8-11 hours	BP-20412	RNA isolation_Trizol Manual (Cell Pellet)	11/30/2011	GTEx_Affy_Batch7_Apr12	05/03/2012	Affymetrix Expression																																													
GTEX-QEL4-0626-SM-3GIJM	1	C1	2   ~11x6mm  aliquot; <5% interstitial adipose tissue, clean specimens	7.7	Muscle	Muscle - Skeletal	8-11 hours	BP-20412	RNA isolation_PAXgene Tissue miRNA	11/30/2011	LCSET-2024	09/11/2012	TrueSeq.v1	0.74216086	45107	0.98163265	1262	0.76073474	0.90872484	0.27838656	19784	0.47655326	0.70313066	76	24.927937	0.002347584	160	15102631	52055694	0.018230628	771869	68428184	6830098	0.61292744	119751	24851469	101903	0.05845636	0	0.07290787	0.36253062	0.69129854	24807311	0.0046972907	10831783	2318865	11082969	145	11479880	9268354	0.0034937526	11529187	50.107143	0.011279986	0.7793086	754	0.52344674	50.5731
GTEX-QEL4-0726-SM-2TWCQ	1	C1	2   ~9.5x5.5mm aliquots.  Adenomatoid nodules with regressive changes	6.5	Thyroid	Thyroid	8-11 hours	BP-20412	RNA isolation_Trizol Manual (Cell Pellet)	11/30/2011	GTEx_Affy_Batch7_Apr12	05/03/2012	Affymetrix Expression																																													
GTEX-QEL4-0726-SM-3GIJ5	1	C1	2   ~9.5x5.5mm aliquots.  Adenomatoid nodules with regressive changes	6.5	Thyroid	Thyroid	8-11 hours	BP-20412	RNA isolation_PAXgene Tissue miRNA	11/30/2011	LCSET-2024	09/11/2012	TrueSeq.v1	0.8103507	86808	0.9578815	1162	0.8269049	0.75981045	0.2585434	23358	0.44672698	0.7672791	76	19.868315	0.0023060592	158	13637956	52594486	0.041949585	456549	63604036	5027436	0.6253066	133063	25025774	84875	0.043599468	0	0.19807108	0.3694007	0.62829095	23495376	0.0045805746	10873544	2368154	11120690	151	11394918	6676473	0.0034205497	11493049	50.214375	0.007177988	0.843459	758	0.553273	50.561844
GTEX-QEL4-0826-SM-2TWC4	2	C1	2    ~9x8mm aliquots, diffuse emphysematous changes, patchy chronic peribronchial inflammation	6.2	Lung	Lung	8-11 hours	BP-20412	RNA isolation_Trizol Manual (Cell Pellet)	11/30/2011	GTEx_Affy_Batch7_Apr12	05/03/2012	Affymetrix Expression																																													
GTEX-QEL4-0826-SM-325AI	2	C1	2    ~9x8mm aliquots, diffuse emphysematous changes, patchy chronic peribronchial inflammation		Lung	Lung	8-11 hours	BP-23760	DNA Isolation from Tissue via QIAgen Spin Column	04/03/2012	GTEx_batch7_OM5_May12	06/21/2012	Illumina OMNI SNP Array																																													
GTEX-QEL4-0826-SM-325HZ	2	C1	2    ~9x8mm aliquots, diffuse emphysematous changes, patchy chronic peribronchial inflammation		Lung	Lung	8-11 hours	BP-23760	DNA Isolation from Tissue via QIAgen Spin Column	04/03/2012	GTEx_batch7_Exome_May12_retry	07/23/2012	Illumina Human Exome SNP Array																																													
GTEX-QEL4-0826-SM-3GAF2	2	C1	2    ~9x8mm aliquots, diffuse emphysematous changes, patchy chronic peribronchial inflammation	6.2	Lung	Lung	8-11 hours	BP-20412	RNA isolation_PAXgene Tissue miRNA	11/30/2011	LCSET-2015	09/12/2012	TrueSeq.v1	0.3818932	54606	0.9671756	1538	0.39173084	0.76395714	0.2751422	23116	0.5462052	0.8243678	76	11.817022	0.0022196264	162	13772486	37834205	0.032644164	446112	96582140	9682454	0.65157086	133484	17887243	98447	0.05066382	0	0.20321852	0.21396543	0.29926556	20665240	0.005235347	7895555	1827203	8082368	159	8375793	5205460	0.0036896192	8423526	50.142063	0.0046189902	0.40156847	752	0.45379478	50.5846
GTEX-QEL4-0926-SM-2TWBY	1	C1	2  9x8mm aliquots, patchy interstitial fibrosis	6.7	Heart	Heart - Left Ventricle	8-11 hours	BP-20412	RNA isolation_Trizol Manual (Cell Pellet)	11/30/2011	GTEx_Affy_Batch7_Apr12	05/03/2012	Affymetrix Expression																																													
GTEX-QEL4-0926-SM-3GAD1	1	C1	2  9x8mm aliquots, patchy interstitial fibrosis	6.7	Heart	Heart - Left Ventricle	8-11 hours	BP-20412	RNA isolation_PAXgene Tissue miRNA	11/30/2011	LCSET-2014	09/08/2012	TrueSeq.v1	0.55655617	29508	0.97344685	1921	0.5911383	0.87395394	0.2541248	20370	0.63327825	0.7931923	76	10.326149	0.0028253705	128	14642646	28850680	0.02643196	1250977	48805296	8227516	0.7098255	122109	13248027	143850	0.075736634	0	0.09949291	0.37435502	0.51662767	18270508	0.0060317814	5695628	2058601	6110473	122	6719854	4058024	0.004334787	6544382	49.338554	0.025631992	0.62572044	658	0.36672175	51.75691
GTEX-QESD-0001-SM-2MRI9		B1			Blood	Whole Blood	4-7 hours	BP-20419	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	11/30/2011	GTEx_Batch4_OM5_Jan12	02/06/2012	Illumina OMNI SNP Array																																													
GTEX-QESD-0001-SM-2XK21		B1			Blood	Whole Blood	4-7 hours	BP-20419	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	11/30/2011	GTEx_96Exome_May12	06/06/2012	Illumina Human Exome SNP Array																																													
GTEX-QESD-0006-SM-2I5G6		B1		8	Blood	Whole Blood	4-7 hours	BP-20442	RNA isolation_PAXgene Blood RNA (Manual)	12/01/2011	LCSET-1168_5	02/25/2012	TrueSeq.v1	0.64493257	110806	0.96247876	1288	0.7528095	0.88995516	0.2638146	20603	0.42324704	0.73224556	76	25.18934	0.0029696352	169	20420932	83454355	0.03742706	2578538	110857190	25830402	0.6789039	118799	34919520	105878	0.05943324	11589814	0.0725236	0.3186244	0.66996676	35321809	0.005773074	15538240	22914240	16308041	174	17424799	19429134	0.004342182	17148246	49.600044	0.023259997	0.70014346	792	0.57675296	51.208622
GTEX-QESD-0006-SM-2M499		B1		8	Blood	Whole Blood	4-7 hours	BP-20442	RNA isolation_PAXgene Blood RNA (Manual)	12/01/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QESD-0526-SM-2I5G5	1	B1	2 pieces, 11x7 & 9x8.7; few contraction bands	8	Heart	Heart - Left Ventricle	4-7 hours	BP-20480	RNA isolation_PAXgene Tissue miRNA	12/02/2011	LCSET-1168_5	02/25/2012	TrueSeq.v1	0.637868	99580	0.9821813	1128	0.7440285	0.9120981	0.3001307	21926	0.503974	0.69899064	76	33.69961	0.003902268	184	30673660	91938944	0.017600648	2875576	123569112	28286965	0.6294646	129084	38590506	93791	0.052395802	12997416	0.07008315	0.37497106	0.678627	46334842	0.006586143	14725812	5217024	15332768	184	16345643	14936112	0.005173596	16018817	49.495087	0.023270993	0.68514377	789	0.49602598	51.00962
GTEX-QESD-0526-SM-2M498	1	B1	2 pieces, 11x7 & 9x8.7; few contraction bands	8	Heart	Heart - Left Ventricle	4-7 hours	BP-20480	RNA isolation_PAXgene Tissue miRNA	12/02/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QESD-0626-SM-2I5G4	0	B1	2 pieces ~8x6 mm; good morphology, no inflammation	8.3	Lung	Lung	4-7 hours	BP-20480	RNA isolation_PAXgene Tissue miRNA	12/02/2011	LCSET-1168_5	02/25/2012	TrueSeq.v1	0.54019034	107163	0.9740906	1151	0.63245416	0.8432921	0.2785965	24380	0.7703248	0.74519837	76	35.06635	0.002862956	152	98388888	70435566	0.025664449	455275	111368658	24798636	0.60715437	138151	29324728	77267	0.03746413	11658092	0.13079844	0.48719513	0.5333436	54258269	0.0056682336	12745088	5945056	13029075	137	14106375	12883102	0.0042241625	13998196	49.80754	0.0040879995	0.5890947	818	0.22967511	50.550915
GTEX-QESD-0626-SM-2M497	0	B1	2 pieces ~8x6 mm; good morphology, no inflammation	8.3	Lung	Lung	4-7 hours	BP-20480	RNA isolation_PAXgene Tissue miRNA	12/02/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QESD-1426-SM-2QU4L	1	B1	6 pieces, up to ~5 x 3.8 mm; epidermis ~90um	6.8	Skin	Skin - Sun Exposed (Lower leg)	4-7 hours	BP-20481	RNA isolation_Trizol Manual (Cell Pellet)	12/02/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QESD-1426-SM-2S1R9	1	B1	6 pieces, up to ~5 x 3.8 mm; epidermis ~90um	6.8	Skin	Skin - Sun Exposed (Lower leg)	4-7 hours	BP-20481	RNA isolation_Trizol Manual (Cell Pellet)	12/02/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.5935051	51170	0.97042644	1649	0.6117032	0.8529736	0.26442587	21692	0.5954406	0.7597304	76	12.46327	0.0025571906	132	15292739	34818672	0.02943731	674853	56920858	6131768	0.6924316	127944	16503325	139717	0.072022006	0	0.117452845	0.36423296	0.5217667	20732453	0.006032586	6962489	2068023	7099719	105	7483788	5971789	0.004243192	7447916	49.87988	0.011855988	0.6299014	697	0.40455934	50.487938
GTEX-QESD-1526-SM-2S1QT	1	B1	2 pieces, 13x9 & 13x8 mm; large central defects, probably poorly fixed in these large aliquots	7.8	Adipose Tissue	Adipose - Subcutaneous	4-7 hours	BP-20480	RNA isolation_Trizol Manual (Cell Pellet)	12/02/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.5755272	72883	0.97306955	1277	0.5883979	0.8598362	0.2641043	21455	0.76062226	0.7175616	76	19.509024	0.0025427116	132	36718402	39633928	0.02669811	310053	67359052	8372430	0.663231	127807	18864946	107558	0.056147967	0	0.113233365	0.44754854	0.50592583	30146447	0.0060840277	8049309	5024770	8233922	105	8563899	7033997	0.0042746384	8491391	49.78743	0.004602989	0.60126865	725	0.23937777	50.56688
GTEX-QESD-1626-SM-2QU58	1	B1	2 pieces, 10x8.6 & 9.4x7.9 mm	7.8	Muscle	Muscle - Skeletal	4-7 hours	BP-20481	RNA isolation_Trizol Manual (Cell Pellet)	12/02/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QESD-1626-SM-2S1RB	1	B1	2 pieces, 10x8.6 & 9.4x7.9 mm	7.8	Muscle	Muscle - Skeletal	4-7 hours	BP-20481	RNA isolation_Trizol Manual (Cell Pellet)	12/02/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.7404023	43814	0.9770928	1201	0.7605031	0.91658163	0.29438758	19406	0.59621257	0.6827191	76	31.856388	0.0026349605	129	20227768	45408322	0.022692868	890429	59708266	6133104	0.6337726	118060	21687311	106168	0.06332332	0	0.060511135	0.45342153	0.69706315	27073013	0.0060426746	8904123	1703083	9177808	101	9623220	9975539	0.0042937826	9455769	49.561165	0.014912995	0.78060395	769	0.4037874	50.75679
GTEX-QESD-1726-SM-2QU3X	1	B1	2 pieces, 2.5x4 & 2.5x3 mm, minimal peripheral adipose	6.6	Nerve	Nerve - Tibial	4-7 hours	BP-20481	RNA isolation_Trizol Manual (Cell Pellet)	12/02/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QESD-1726-SM-2S1R7	1	B1	2 pieces, 2.5x4 & 2.5x3 mm, minimal peripheral adipose	6.6	Nerve	Nerve - Tibial	4-7 hours	BP-20481	RNA isolation_Trizol Manual (Cell Pellet)	12/02/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.3782221	46106	0.9702535	1121	0.38838416	0.79865015	0.28551024	21698	0.77471924	0.75457865	76	22.32787	0.0022902892	126	31162585	31656674	0.029525148	345922	81508666	7029230	0.6482657	128410	15043317	91947	0.05066422	0	0.17160334	0.3008887	0.31018308	24525034	0.0057544825	6502013	1407624	6620635	103	6926588	4777126	0.003977066	6901294	49.90854	0.0042439904	0.39854622	745	0.22528078	50.451973
GTEX-QLQ7-0003-SM-2MRIB		B1			Blood	Whole Blood	0-(-3) hours	BP-20534	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	12/05/2011	GTEx_Batch4_OM5_Jan12	02/06/2012	Illumina OMNI SNP Array																																													
GTEX-QLQ7-0003-SM-2XK22		B1			Blood	Whole Blood	0-(-3) hours	BP-20534	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	12/05/2011	GTEx_96Exome_May12	06/06/2012	Illumina Human Exome SNP Array																																													
GTEX-QLQ7-0005-SM-2M486		B1		8.8	Blood	Whole Blood	0-(-3) hours	BP-20521	RNA isolation_PAXgene Blood RNA (Manual)	12/05/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QLQ7-0005-SM-2S1QP		B1		8.8	Blood	Whole Blood	0-(-3) hours	BP-20521	RNA isolation_Trizol Manual (Cell Pellet)	12/05/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.5383054	38811	0.9100594	1559	0.5499029	0.792331	0.31445584	19475	0.4760965	0.71411556	76	14.264475	0.0022867268	120	14714640	50996092	0.08982018	5089566	92736538	7154372	0.6945702	114301	24384462	129892	0.07387371	0	0.117728375	0.26180688	0.43570513	24279062	0.0057013948	10168244	9071244	10393327	107	10753447	9805893	0.003958053	10693169	49.85947	0.054881994	0.5615005	725	0.5239035	50.547337
GTEX-QLQ7-0526-SM-2I5G3	1	B1	2  ~9x8mm aliquots, minimal ischemic changes	7.9	Heart	Heart - Left Ventricle	0-3 hours	BP-20570	RNA isolation_PAXgene Tissue miRNA	12/06/2011	LCSET-1168_6	02/25/2012	TrueSeq.v1	0.7054315	75843	0.983068	748	0.8235715	0.91443074	0.3151509	22886	0.50970775	0.67669314	76	67.46778	0.004183752	227	39232215	114215796	0.01668026	3538787	138683528	26889555	0.6038722	132912	47920413	56811	0.03284982	14746000	0.068637244	0.41978076	0.7530991	58216670	0.006764755	18557360	3162506	19114546	255	20371156	19193695	0.0054171155	20255608	49.857796	0.025516998	0.7593185	860	0.49029234	50.73953
GTEX-QLQ7-0526-SM-2M496	1	B1	2  ~9x8mm aliquots, minimal ischemic changes	7.9	Heart	Heart - Left Ventricle	0-3 hours	BP-20570	RNA isolation_PAXgene Tissue miRNA	12/06/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QLQ7-0726-SM-2I5G2	1	B1	2   ~9x7mm aliquots, patchy areas of regression/fibrosis	7.5	Thyroid	Thyroid	0-3 hours	BP-20570	RNA isolation_PAXgene Tissue miRNA	12/06/2011	LCSET-1168_6	02/25/2012	TrueSeq.v1	0.7258126	143895	0.968345	677	0.8454641	0.81921864	0.2760253	26078	0.7077429	0.77143323	76	55.230213	0.0032062652	234	101052475	115337456	0.031257253	1229818	136419108	27489565	0.5962018	142284	48352613	46293	0.023175446	14495860	0.14912635	0.59837127	0.6926199	81629272	0.0058765565	20705872	6466007	21060402	244	22517574	19971835	0.0045114662	22587545	50.07756	0.009014999	0.7838703	868	0.29225704	50.424423
GTEX-QLQ7-0726-SM-2M495	1	B1	2   ~9x7mm aliquots, patchy areas of regression/fibrosis	7.5	Thyroid	Thyroid	0-3 hours	BP-20570	RNA isolation_PAXgene Tissue miRNA	12/06/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QLQ7-1526-SM-2S1QA	1	B1	2   ~11x8m aliquots	6.9	Adipose Tissue	Adipose - Subcutaneous	0-3 hours	BP-20570	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.75578195	62825	0.97205365	1042	0.7758506	0.8343365	0.2687332	22716	0.65288585	0.71134394	76	26.691046	0.0024519188	128	24542502	44533365	0.027696403	457014	57399406	6350366	0.59801465	132429	21204570	86017	0.047571275	0	0.13771717	0.5065419	0.64732045	29075204	0.005851768	9055946	1910175	9209787	104	9637864	7421214	0.004107872	9599078	49.89919	0.007961999	0.7959193	776	0.34711415	50.42112
GTEX-QLQ7-1626-SM-2QU45	1	B1	6   ~6.5x2.5mm pieces; squamous epithelium is ~1-2% of thickness	6.6	Skin	Skin - Sun Exposed (Lower leg)	0-3 hours	BP-20571	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QLQ7-1626-SM-2S1R8	1	B1	6   ~6.5x2.5mm pieces; squamous epithelium is ~1-2% of thickness	6.6	Skin	Skin - Sun Exposed (Lower leg)	0-3 hours	BP-20571	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.7510056	161104	0.95855355	922	0.77067024	0.786683	0.27605912	24771	0.6256517	0.72451556	76	35.647476	0.0028491255	158	32263698	65267143	0.041290913	899141	84688810	8891870	0.60679024	138772	31003556	69033	0.037444897	0	0.1718705	0.48217115	0.60627323	40834499	0.0062632393	12966948	17756327	13228021	141	13813467	9573046	0.0045126243	13773647	49.92783	0.010616999	0.7903348	820	0.37434828	50.498325
GTEX-QLQ7-1726-SM-2M48G	1	B1	2   ~11x6mm aliquots, <5-10% interstitial fat	8.2	Muscle	Muscle - Skeletal	0-3 hours	BP-20571	RNA isolation_PAXgene Tissue miRNA	12/06/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-QLQ7-1726-SM-2S1QQ	1	B1	2   ~11x6mm aliquots, <5-10% interstitial fat	8.2	Muscle	Muscle - Skeletal	0-3 hours	BP-20571	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.7927072	42209	0.9769818	1492	0.81320536	0.91099334	0.2907458	20804	0.545293	0.66714126	76	18.139566	0.0026774497	143	21287638	57613399	0.022786262	1176561	70847300	5920678	0.638254	125159	27563575	143588	0.075940706	0	0.065988466	0.44343516	0.74082464	31416182	0.006068447	11275999	1890656	11552199	123	12084597	12575902	0.004330211	11941887	49.703014	0.016607	0.8337034	747	0.454707	50.60495
GTEX-QLQ7-1826-SM-2QU3E	1	B1	2   ~6x4mm aliquots,   ~10% interstitial fat	6.4	Nerve	Nerve - Tibial	0-3 hours	BP-20571	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QLQ7-1826-SM-2S1R5	1	B1	2   ~6x4mm aliquots,   ~10% interstitial fat	6.4	Nerve	Nerve - Tibial	0-3 hours	BP-20571	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.8128946	91896	0.97142977	989	0.83255196	0.830793	0.30808035	23967	0.721767	0.775351	76	28.823528	0.0024029016	164	47041092	62553160	0.028311424	554716	75134244	5480632	0.63675916	136595	29856380	78319	0.045085493	0	0.1406367	0.6009086	0.69167835	45148808	0.0058268583	12842260	2648813	13069108	143	13593585	10394627	0.0040744585	13572306	49.960835	0.0073829987	0.8522094	801	0.278233	50.43774
GTEX-QLQ7-1926-SM-2QU3Q	1	B1	2  ~2x1mm aliquots, substantial rims of fat/fibrous tissue around both (up to 1-2mm). Focal Monckeberg's medial sclerosis noted	7	Blood Vessel	Artery - Tibial	0-3 hours	BP-20571	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-QLQ7-1926-SM-2S1R6	1	B1	2  ~2x1mm aliquots, substantial rims of fat/fibrous tissue around both (up to 1-2mm). Focal Monckeberg's medial sclerosis noted	7	Blood Vessel	Artery - Tibial	0-3 hours	BP-20571	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	LCSET-1466	05/21/2012	TrueSeq.v1	0.7122089	65694	0.9771645	1192	0.7324905	0.8815031	0.29281175	22217	0.75979835	0.727992	76	23.607718	0.0023220084	144	43892428	47492179	0.022499114	359518	64836584	5521798	0.62143886	131525	22598018	99715	0.055645246	0	0.095661394	0.5565451	0.64569265	36084482	0.0057862033	9595364	1871827	9808390	114	10282733	9221676	0.0040061465	10226434	49.862743	0.0055449866	0.75277203	793	0.24020159	50.548927
GTEX-QLQW-0001-SM-2MRID		B1			Blood	Whole Blood	0-(-3) hours	BP-20558	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	12/06/2011	GTEx_Batch4_OM5_Jan12	02/06/2012	Illumina OMNI SNP Array																																													
GTEX-QLQW-0001-SM-2XK23		B1			Blood	Whole Blood	0-(-3) hours	BP-20558	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	12/06/2011	GTEx_96Exome_May12	06/06/2012	Illumina Human Exome SNP Array																																													
GTEX-QLQW-0005-SM-2QU4U		B1		9.2	Blood	Whole Blood	0-(-3) hours	BP-20565	RNA isolation_Trizol Manual (Cell Pellet)	12/06/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
